model,diam,n,loc_med_mm,peak_corr,peak_ratio,fz_med
ecomesh xy1,d5,54591,0.5,0.781,0.749,0.49
ecomesh xy1,d10,163571,0.5,0.976,1.025,1.95
eco20 xy1,d10,134695,0.707,0.944,1.038,1.5
eco50 xy1,d5,54728,0.5,0.423,0.905,0.49
eco50 xy1,d10,152933,1.0,0.901,0.982,2.15
"mixed+A (섞음, size)",d5,1006638,0.5,0.962,0.949,1.01
"mixed+A (섞음, size)",d10,628133,1.0,0.491,1.205,1.35
"mixed (섞음, no-size)",d5,1006638,0.5,0.968,0.976,1.01
"mixed (섞음, no-size)",d10,628133,0.707,0.548,1.462,1.35
d10-only (분리),d10,628133,1.581,0.323,1.231,1.35
"d5-only (분리, β)",d5,1006638,0.5,0.976,0.986,1.01
