run,diam,n,rel_all(구지표),rel_fair(저force제외),abs_rmse_med,fz_med
d5only_beta_g0p1,d5,1609712,0.161,0.121,0.1514,0.48
d5only_beta_g0p25,d5,1609712,0.168,0.125,0.1545,0.48
d5only_beta_g0p5,d5,1609712,0.161,0.118,0.1458,0.48
d5only_beta_g1p0,d5,422307,0.167,0.124,0.148,0.49
xy1_d5d10_eco20_xy1_fold1_e2e_g05,d5,241457,0.894,0.871,0.0139,0.01
xy1_d5d10_eco20_xy1_fold1_e2e_g05,d10,239940,0.661,0.537,0.2925,0.49
xy1_d5d10_eco20_xy1_fold2_e2e_g05,d5,241612,0.385,0.344,0.0018,0.01
xy1_d5d10_eco20_xy1_fold2_e2e_g05,d10,239746,0.278,0.197,0.1457,0.48
xy1_d5d10_eco20_xy1_fold3_e2e_g05,d5,241618,0.754,0.73,0.0078,0.01
xy1_d5d10_eco20_xy1_fold3_e2e_g05,d10,239559,0.415,0.327,0.1793,0.45
xy1_d5d10_eco50_xy1_fold1_e2e_g05,d5,242705,0.332,0.269,0.0037,0.01
xy1_d5d10_eco50_xy1_fold1_e2e_g05,d10,239574,0.378,0.287,0.2574,0.86
xy1_d5d10_eco50_xy1_fold2_e2e_g05,d5,242450,0.643,0.572,0.0097,0.01
xy1_d5d10_eco50_xy1_fold2_e2e_g05,d10,240473,0.582,0.493,0.3781,0.85
xy1_d5d10_eco50_xy1_fold3_e2e_g05,d5,242390,0.813,0.747,0.0211,0.01
xy1_d5d10_eco50_xy1_fold3_e2e_g05,d10,233469,0.561,0.469,0.4862,0.91
xy1_d5d10_ecomesh_xy1_fold1_e2e_g05,d5,241874,0.828,0.78,0.0202,-0.01
xy1_d5d10_ecomesh_xy1_fold1_e2e_g05,d10,256582,0.749,0.608,0.6006,0.84
xy1_d5d10_ecomesh_xy1_fold2_e2e_g05,d5,239332,0.316,0.278,0.0034,-0.12
xy1_d5d10_ecomesh_xy1_fold2_e2e_g05,d10,256321,0.185,0.14,0.1411,0.83
xy1_d5d10_ecomesh_xy1_fold3_e2e_g05,d5,242533,0.36,0.297,0.0033,0.01
xy1_d5d10_ecomesh_xy1_fold3_e2e_g05,d10,256438,0.15,0.108,0.12,0.83
ecomesh_xy0p5_datarich_val_d5test10_d10test3,d5,1609712,0.176,0.135,0.0944,0.48
ecomesh_xy0p5_datarich_val_d5test10_d10test3,d10,1273748,0.663,0.538,0.3168,0.29
ecomesh_pool_d10_val_d5t10_d10t3,d5,1609712,0.195,0.155,0.1001,0.48
ecomesh_pool_d10_val_d5t10_d10t3,d10,1273748,0.682,0.558,0.2986,0.29
sizeA_eco20_xy1_fold2_e2e_g05,d5,241612,0.411,0.367,0.002,0.01
sizeA_eco20_xy1_fold2_e2e_g05,d10,239746,0.256,0.18,0.1434,0.48
sizeA_eco50_xy1_fold1_e2e_g05,d5,242705,0.319,0.253,0.0033,0.01
sizeA_eco50_xy1_fold1_e2e_g05,d10,239574,0.404,0.3,0.2718,0.86
sizeA_ecomesh_xy1_fold3_e2e_g05,d5,242533,0.358,0.295,0.0039,0.01
sizeA_ecomesh_xy1_fold3_e2e_g05,d10,256438,0.189,0.141,0.1377,0.83
ecomesh_xy0p5_sizeinput_val_d5t10_d10t3,d5,1609712,0.196,0.153,0.0988,0.48
ecomesh_xy0p5_sizeinput_val_d5t10_d10t3,d10,1273748,0.666,0.511,0.2958,0.29
